MonitorDate,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,THC,WS_HR,Weekday,AQI,RAINFALL
2020/1/1,16.53,1.797,0.31,0.095,1.11,11.67,12.8,28.4,15,7,74.46,0.9,1.891,2.06,1,31,0
2020/1/2,18.45,1.901,0.43,0.163,4.55,19.05,23.62,19.3,21,9,73.29,1.8,2.064,0.86,1,36,0
2020/1/3,18.8,1.893,0.56,0.175,8.73,20.99,29.73,20.3,29,16,74.54,2.2,2.069,0.85,1,51,0
2020/1/4,19.59,1.936,0.6,0.203,8.87,20.84,29.71,21,38,25,76.31,2,2.138,0.68,0,73,0
2020/1/5,20.4,1.851,0.46,0.113,2.5,14.7,17.2,33.1,38,23,76.42,1.4,1.964,1.06,0,70,0
2020/1/6,19.48,1.907,0.56,0.152,3.94,17.85,21.81,23.3,61,35,82.45,1.8,2.058,0.88,1,100,0
2020/1/7,20.55,1.952,0.75,0.225,8.73,27.77,36.51,19.2,49,30,76.24,2.8,2.177,0.99,1,86,0
2020/1/8,19.14,1.869,0.54,0.14,2.12,15.33,17.45,34.3,37,17,65.53,1.4,2.009,2.5,1,53,0
2020/1/9,19.44,1.85,0.52,0.148,1.4,16.29,17.7,31.8,35,18,65.4,2.9,1.998,1.36,1,58,0
2020/1/10,19.66,1.885,0.56,0.168,7.38,18.83,26.22,23.6,34,18,74.62,2.4,2.053,0.86,1,57,0
2020/1/11,19.06,1.809,0.31,0.086,1.06,13.32,14.34,30,36,19,79.27,1.9,1.895,1.05,0,60,0
2020/1/12,15.48,1.801,0.42,0.116,2.29,9.58,11.87,28.3,21,10,77.44,2.7,1.917,2.64,0,32,0
2020/1/13,16.69,1.791,0.34,0.096,1.54,11.59,13.14,36,32,17,71.46,1.8,1.887,2.14,1,54,0
2020/1/14,17.78,1.794,0.34,0.094,1.07,12.98,14.08,33.1,36,18,76.7,2.4,1.888,1.73,1,58,14.4
2020/1/15,18.9,1.83,0.45,0.103,1.36,12.47,13.84,36.4,30,19,73.01,1.5,1.933,1.52,1,59,0
2020/1/16,18.83,1.805,0.39,0.106,1.29,12.55,13.89,36.3,24,13,78.72,1.7,1.912,1.28,1,46,0
2020/1/17,15.52,1.78,0.3,0.097,1.02,10.75,11.78,30.6,12,6,81.2,2,1.878,2.41,1,30,0
2020/1/18,14.67,1.832,0.45,0.11,1.28,12.15,13.46,29.2,33,18,71.21,1.6,1.942,2.33,0,56,0
2020/1/19,15.45,1.831,0.48,0.093,0.74,11.36,12.14,30.5,43,26,77.93,1.8,1.924,1.65,0,77,0
2020/1/20,16.07,1.848,0.52,0.112,1.37,13.2,14.59,34.8,33,20,69.02,1.6,1.96,2.08,1,63,0
2020/1/21,18.26,1.941,0.7,0.212,2.96,23.89,26.81,33.9,51,36,67.19,3.1,2.153,1.18,1,101,0
2020/1/22,19.5,2.053,0.96,0.285,9.46,26.94,36.41,22.4,66,43,77.53,3.1,2.339,0.7,1,120,0
2020/1/23,22.12,1.932,0.67,0.184,3.96,20.93,24.89,33.3,44,32,68.17,1.5,2.116,0.85,1,92,0
2020/1/24,19.53,1.829,0.43,0.069,0.48,8.95,9.5,34.2,32,20,86.58,0.8,1.898,1.65,1,63,0
2020/1/25,18.33,1.792,0.29,0.048,0.77,6.71,7.48,38.1,18,9,86.91,1.3,1.84,2.1,0,37,2.6
2020/1/26,17.27,1.765,0.21,0.037,0.82,5.9,6.74,36.4,6,3,87.61,1.5,1.801,1.62,0,40,138
2020/1/27,15.08,1.788,0.26,0.049,0.88,7.74,8.63,31.1,14,4,78.32,3.4,1.837,1.45,1,32,4.2
2020/1/28,14.11,1.799,0.35,0.049,0.83,6.82,7.69,36.8,17,6,72.17,1,1.848,2.19,1,37,0
2020/1/29,12.74,1.823,0.35,0.061,0.65,8.47,9.16,34.2,19,10,66.63,1.4,1.883,2.08,1,36,0
2020/1/30,12.19,1.851,0.42,0.076,1.04,9.91,11,42.2,34,25,52.82,2.7,1.927,1.87,1,75,0
2020/1/31,12.83,1.869,0.44,0.085,1.06,10.66,11.75,41.9,42,32,52.18,3.1,1.954,2.4,1,90,0
2020/2/1,14.26,1.872,0.37,0.093,0.98,12.76,13.78,38.9,34,23,59.18,2.1,1.964,1.63,0,69,0
2020/2/2,16.33,1.854,0.37,0.093,1.43,13.44,14.87,33.2,24,14,65.63,1.1,1.947,0.69,0,47,0
2020/2/3,17.25,1.831,0.34,0.098,2.57,12.88,15.47,30.1,26,15,73.6,1.7,1.93,1.57,1,48,0
2020/2/4,16.88,1.788,0.34,0.106,0.96,9.45,10.42,40.8,19,10,83.19,1.7,1.894,1.8,1,42,7.8
