Year,MEP,CEP,REP,IPI,PMI,NMI,HPL,HCL,NRC,NRM,WIV,AQImean,CPG,CPP,SMP,SF
201609,3032,899,1853,104.43,56.5,51,1365410.728,3235541.635,7810600,13679122,262811,46.84,17754911.75,3578484.983,4494162,1.065198537
201610,3035,898,1856,104.73,57.5,49.4,1503190.248,3339693.332,7820374,13682231,248840,65.44516129,18117692.17,3780368.504,5162430,1.065198537
201611,3036,900,1859,107.3,59.1,49.8,1455129.545,3309754.687,7832573,13680343,199771,75.06666667,16459907.43,3814733.794,5030475,1.065198537
201612,3037,899,1862,107.17,55.9,51.3,1555539.149,3452503.926,7842423,13668227,245127,81.9483871,17016903.31,3934481.815,5199468,1.157917925
201701,3038,900,1865,99.24,53.1,54.1,1431793.877,3284627.18,7857695,13669116,259865,83.22580645,16221688.87,3947540.621,4902960,1.157917925
201702,3035,902,1861,92.11,63.7,48.5,1329371.892,2892331.602,7856677,13675472,236026,88.68571429,14738827.64,3637679.468,4876248,1.157917925
201703,3036,900,1864,108.82,61,55.1,1468795.477,3336849.639,7865347,13688032,241389,92.81290323,17149734.35,3916822.421,5427790,1.12185443
201704,3040,899,1868,94.83,58.4,56.3,1431261.421,3168759.642,7870102,13690684,219573,83.49333333,17140487.4,3632761.478,5117914,1.12185443
201705,3039,900,1871,103.75,56.3,55.4,1490991.41,3365719.646,7880915,13705034,234615,69.17419355,19379406.82,3878316.137,5310232,1.12185443
201706,3041,901,1874,107.46,54.8,53,1350671.623,3457651.872,7891883,13711962,253879,37.86,19752371.06,4002559.884,4609477,0.631461539
201707,3046,902,1880,104.39,60,54.8,1378635.078,3324964.75,7903653,13711075,243894,44.84516129,20892138.37,4166765.023,4967688,0.631461539
201708,3050,904,1884,111.51,58.9,55.2,1442158.458,3599528.536,7909284,13729613,240758,43.54193548,21132941.31,4006104.854,5203462,0.631461539
201709,3051,901,1878,109.74,59,53.6,1380057.677,3416845.68,7917688,13753197,235860,69.52666667,20299940.29,3859236.309,4897203,1.065198537
201710,3054,901,1882,107.54,58.9,53,1446384.667,3312185.931,7926821,13764229,278416,73.58709677,18660150.36,3656985.078,4698381,1.065198537
201711,3056,903,1886,109.05,60.1,53.4,1406770.536,3613268.281,7939739,13768921,253538,72.78,17196802.23,3774549.885,4965286,1.065198537
201712,3057,902,1889,111.67,60.2,53.3,1496571.768,3578123.685,7948783,13755582,271842,78.5483871,16836745,3918872.061,5190636,1.157917925
201801,3058,903,1891,108.57,59.7,55.9,1403008.198,3864493.301,7961270,13764138,373628,71.58064516,17119201.96,4232409.978,5161707,1.157917925
201802,3055,905,1887,87.75,58.7,50.7,1257331.279,3142777.815,7964827,13769362,345839,89.35714286,14601045.62,3716644.38,4237562,1.157917925
201803,3056,904,1890,115.24,56.1,54.4,1464685.488,3765623.947,7970145,13776210,346607,88.22580645,17451057.12,4027326.476,5436380,1.12185443
201804,3058,902,1893,102.75,56.5,55.6,1419832.24,3501136.897,7972738,13780644,292143,85.16,18135279.41,3856403.128,5111308,1.12185443
201805,3059,901,1896,111.41,56.2,53.7,1476998.543,3629095.845,7980568,13788809,332780,57.21935484,20999167.78,4119283.53,5477625,1.12185443
201806,3061,902,1898,107.45,55.8,54.7,1398592.288,3455103.922,7993240,13801770,356169,54.58666667,19979540.8,3968881.545,5114958,0.631461539
201807,3066,904,1905,109.29,55.3,57,1405726.394,3842640.053,8004065,13802272,353657,45.62580645,20037659.1,4121759.159,5280924,0.631461539
201808,3070,906,1909,112.75,54.9,52.6,1434501.059,3858694.607,8003351,13805641,352494,43.78064516,21065779.87,4188904.503,5395997,0.631461539
201809,3071,905,1904,111.57,54.6,50.8,1430554.062,3769964.934,8010799,13825385,337701,63.1,19312792.2,3960338.65,5133138,1.065198537
201810,3070,904,1908,116.97,51.2,49.9,1481687.298,3871140.501,8017366,13828331,337362,87.16774194,18446169.76,3985820.47,5320026,1.065198537
201811,3072,906,1911,111.85,46.7,52.3,1459543.414,3696174.958,8026771,13832492,322760,77.76,18989466.48,3992540.32,5165121,1.065198537
201812,3070,908,1914,110.49,46.5,51.6,1503598.752,3772310.841,8035720,13835520,352260,68.98709677,17533795.42,3930894.192,5231351,1.157917925
201901,3071,906,1917,107.2,46.1,49,1425125.648,3987372.099,8044503,13843049,351995,83.20645161,17028005.76,4092967.162,5205853,1.157917925
201902,3069,904,1913,85.61,47.4,47.8,1260284.152,3054840.046,8042165,13849120,320223,75.55,14123334.32,3785447.127,4573812,1.157917925
201903,3068,903,1915,104.24,49.1,53.3,1467812.757,3683561.64,8046128,13859680,330525,77.58064516,16909284.02,4029106.518,5368635,1.12185443
201904,3066,905,1917,103.68,51.7,55.6,1431416.182,3423272.867,8049326,13871557,322288,71.7,17704893.37,4005125.912,4931820,1.12185443
